Contractor,Level,Director,Management,Skilled,Semi-Skilled,Unskilled
Baker Hughes,Expat,1,5,60,0,0
Baker Hughes,Non-Turkana,0,1,30,0,0
Baker Hughes,Turkana,0,0,0,0,0
Baker Hughes,Sub-Total,0,1,30,0,0
Baker Hughes,Total,1,6,90,0,0
Schlumberger,Expat,0,9,72,0,0
Schlumberger,Non-Turkana,0,0,29,9,0
Schlumberger,Turkana,0,0,0,0,0
Schlumberger,Sub-Total,0,0,29,9,0
Schlumberger,Total,0,9,101,9,0
